Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  2, 2,    3, 3,      3,      32,     2,
Conv2,  4, 4,    3, 3,      32,      1,     1,
Conv3,  8, 8,    1, 1,      32,     64,     1,
Conv4,  16, 16,    3, 3,      64,      1,     2,
Conv5,   32,  32,    1, 1,      64,    128,     1,
Conv6,   64,  64,    3, 3,     128,      1,     1,
Conv7,   128,  128,    1, 1,     128,    128,     1,
Conv8,   256,  256,    3, 3,     128,      1,     2,
Conv9,   28,  28,    1, 1,     128,    256,     1,
Conv10,  28,  28,    3, 3,     256,      1,     1,
Conv11,  28,  28,    1, 1,     256,    256,     1,
Conv12,  28,  28,    3, 3,     256,      1,     2,
Conv13,  14,  14,    1, 1,     256,    512,     1,
Conv14,  14,  14,    3, 3,     512,      1,     1,
Conv15,  14,  14,    1, 1,     512,    512,     1,
Conv16,  14,  14,    3, 3,     512,      1,     1,
Conv17,  14,  14,    1, 1,     512,    512,     1,
Conv18,  14,  14,    3, 3,     512,      1,     1,
Conv19,  14,  14,    1, 1,     512,    512,     1,
Conv20,  14,  14,    3, 3,     512,      1,     1,
Conv21,  14,  14,    1, 1,     512,    512,     1,
Conv22,  14,  14,    3, 3,     512,      1,     1,
Conv23,  14,  14,    1, 1,     512,    512,     1,
Conv24,  14,  14,    3, 3,     512,      1,     2,
Conv25,   7,   7,    1, 1,     512,   1024,     1,
Conv26,   7,   7,    3, 3,    1024,      1,     2,
Conv27,   7,   7,    1, 1,    1024,   1024,     1,
